0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27
 You certainly have! Thanks!| Hello, I hear you are looking for movie recommendations. Do you have any sort of genre in mind? Yes, I'd recommend psychological thrillers. Have you seen [ITEM]| No I have never seen that one. I will have to check it out. Growing up I always like movies like [ITEM] and [ITEM] .| As for newer movies I really enjoyed [ITEM] . It was riveting. Those are classics. I'd like to see [ITEM] or the remake [ITEM]| I have not seen the remake.| Have you seen [ITEM]| No I have not seen that one either. I guess I have a few to look into. I really liked [ITEM] though.| I enjoyed [ITEM] but never did see the original. I felt like the sequel stood well on its own.| I will have to check out the original! Well you have a wonderful evening I hope I helped.|||||||||||||||||||
 Goodbye.| Hello, I hear you are looking for movie recommendations. Do you have any sort of genre in mind? Yes, I'd recommend psychological thrillers. Have you seen [ITEM]| No I have never seen that one. I will have to check it out. Growing up I always like movies like [ITEM] and [ITEM] .| As for newer movies I really enjoyed [ITEM] . It was riveting. Those are classics. I'd like to see [ITEM] or the remake [ITEM]| I have not seen the remake.| Have you seen [ITEM]| No I have not seen that one either. I guess I have a few to look into. I really liked [ITEM] though.| I enjoyed [ITEM] but never did see the original. I felt like the sequel stood well on its own.| I will have to check out the original! Well you have a wonderful evening I hope I helped.| You certainly have! Thanks!| Thank you, good bye.|||||||||||||||||
 I really likeI like [ITEM] a lot. I love old movies.| Hello! How are you? Hi! Do you have a good movie for me? I like dramas.| I am great. Do you like classic dramas like Casablanca, or would you prefer something more recent?|||||||||||||||||||||||||
 [ITEM] is another favorite old movie of mine, though it doesn't have the same hard-boiled feel to it What is [ITEM] about? That sounds interesting.| Hello! How are you? Hi! Do you have a good movie for me? I like dramas.| I am great. Do you like classic dramas like Casablanca, or would you prefer something more recent?| I really likeI like [ITEM] a lot. I love old movies.| I have seen [ITEM] . I like [ITEM] too. If you like [ITEM] , you might enjoy [ITEM] or [ITEM]|||||||||||||||||||||||
 Thanks so much for the help! Bye!| Hello! How are you? Hi! Do you have a good movie for me? I like dramas.| I am great. Do you like classic dramas like Casablanca, or would you prefer something more recent?| I really likeI like [ITEM] a lot. I love old movies.| I have seen [ITEM] . I like [ITEM] too. If you like [ITEM] , you might enjoy [ITEM] or [ITEM]| [ITEM] is another favorite old movie of mine, though it doesn't have the same hard-boiled feel to it What is [ITEM] about? That sounds interesting.| I think I would like to watch [ITEM] . In [ITEM] Humphrey Bogart's character clashes with mobsters in a Florida resort town, and falls in love with Lauren Bacall along the way|||||||||||||||||||||
 Goodbye.| Hello! How are you? Hi! Do you have a good movie for me? I like dramas.| I am great. Do you like classic dramas like Casablanca, or would you prefer something more recent?| I really likeI like [ITEM] a lot. I love old movies.| I have seen [ITEM] . I like [ITEM] too. If you like [ITEM] , you might enjoy [ITEM] or [ITEM]| [ITEM] is another favorite old movie of mine, though it doesn't have the same hard-boiled feel to it What is [ITEM] about? That sounds interesting.| I think I would like to watch [ITEM] . In [ITEM] Humphrey Bogart's character clashes with mobsters in a Florida resort town, and falls in love with Lauren Bacall along the way| Thanks so much for the help! Bye!| Have a good day!|||||||||||||||||||
 I am great.| Hi! How are you? I am looking for a funny movie. Can you . help me? I really like [ITEM] . I like comedies that have a little romance in them. Hi I'm great thanks, how are you?||||||||||||||||||||||||||
 I also like [ITEM] and [ITEM] I have not seen [ITEM] . What is it about?| Hi! How are you? I am looking for a funny movie. Can you . help me? I really like [ITEM] . I like comedies that have a little romance in them. Hi I'm great thanks, how are you?| I am great.| It's a nice day. I also really like [ITEM] . I like [ITEM] too. I hope you can help by just suggesting one movie. [ITEM] ething About Mary is a great movie, very funny. Have you seen [ITEM] ?||||||||||||||||||||||||
 Thank you so much for the help! Have a great day. Goodbye.| Hi! How are you? I am looking for a funny movie. Can you . help me? I really like [ITEM] . I like comedies that have a little romance in them. Hi I'm great thanks, how are you?| I am great.| It's a nice day. I also really like [ITEM] . I like [ITEM] too. I hope you can help by just suggesting one movie. [ITEM] ething About Mary is a great movie, very funny. Have you seen [ITEM] ?| I also like [ITEM] and [ITEM] I have not seen [ITEM] . What is it about?| It has Drew Barrymore and Adam Sandler starring, it's a romantic comedy so you would like it||||||||||||||||||||||
 I am great.| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?||||||||||||||||||||||||||
 I really love superhero movies like [ITEM] and [ITEM] .| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?| I am great.| What kind of movies do you like? I love horrors!||||||||||||||||||||||||
 Awesome.| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?| I am great.| What kind of movies do you like? I love horrors!| I really love superhero movies like [ITEM] and [ITEM] .| Can you suggest a couple superhero movies for me to watch tonight? That's great my brother also likes those movies so I can recommend some for you||||||||||||||||||||||
 No I have not seen [ITEM] . I know people that really like it. I will have to watch it. I do really like [ITEM] . I am sure I will love it.| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?| I am great.| What kind of movies do you like? I love horrors!| I really love superhero movies like [ITEM] and [ITEM] .| Can you suggest a couple superhero movies for me to watch tonight? That's great my brother also likes those movies so I can recommend some for you| Awesome.| Have you seen [ITEM]||||||||||||||||||||
 Cool! Thanks for helping me!| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?| I am great.| What kind of movies do you like? I love horrors!| I really love superhero movies like [ITEM] and [ITEM] .| Can you suggest a couple superhero movies for me to watch tonight? That's great my brother also likes those movies so I can recommend some for you| Awesome.| Have you seen [ITEM]| No I have not seen [ITEM] . I know people that really like it. I will have to watch it. I do really like [ITEM] . I am sure I will love it.| Also [ITEM] is a great film||||||||||||||||||
 Have a great night. Goodbye!| Hi! How are you? It is so great to be paired with you. Hey good thanks and you?| I am great.| What kind of movies do you like? I love horrors!| I really love superhero movies like [ITEM] and [ITEM] .| Can you suggest a couple superhero movies for me to watch tonight? That's great my brother also likes those movies so I can recommend some for you| Awesome.| Have you seen [ITEM]| No I have not seen [ITEM] . I know people that really like it. I will have to watch it. I do really like [ITEM] . I am sure I will love it.| Also [ITEM] is a great film| Cool! Thanks for helping me!| Yeh Spiderman is a great movie||||||||||||||||
 I am hoping you can help me find a movie about gangsters, like [ITEM] . I love that movie. I also really like [ITEM] .| Hey how are you? Hi! How are you today?| I'm great thanks, What kind of movies do you like?|||||||||||||||||||||||||
 I have not seen it, what is it about?| Hey how are you? Hi! How are you today?| I'm great thanks, What kind of movies do you like?| I am hoping you can help me find a movie about gangsters, like [ITEM] . I love that movie. I also really like [ITEM] .| Anything related to the mob interests me. They are great movies, have you seen [ITEM]|||||||||||||||||||||||
 Oh, cool. That sounds like something I would like for sure.| Hey how are you? Hi! How are you today?| I'm great thanks, What kind of movies do you like?| I am hoping you can help me find a movie about gangsters, like [ITEM] . I love that movie. I also really like [ITEM] .| Anything related to the mob interests me. They are great movies, have you seen [ITEM]| I have not seen it, what is it about?| Is it like the [ITEM] ? It's based on 1970's in New York|||||||||||||||||||||
 Yeah, I have actually never seen that!| Hey how are you? Hi! How are you today?| I'm great thanks, What kind of movies do you like?| I am hoping you can help me find a movie about gangsters, like [ITEM] . I love that movie. I also really like [ITEM] .| Anything related to the mob interests me. They are great movies, have you seen [ITEM]| I have not seen it, what is it about?| Is it like the [ITEM] ? It's based on 1970's in New York| Oh, cool. That sounds like something I would like for sure.| Also [ITEM] is a film you might enjoy|||||||||||||||||||
 Have a great day. Goodbye.| Hey how are you? Hi! How are you today?| I'm great thanks, What kind of movies do you like?| I am hoping you can help me find a movie about gangsters, like [ITEM] . I love that movie. I also really like [ITEM] .| Anything related to the mob interests me. They are great movies, have you seen [ITEM]| I have not seen it, what is it about?| Is it like the [ITEM] ? It's based on 1970's in New York| Oh, cool. That sounds like something I would like for sure.| Also [ITEM] is a film you might enjoy| Yeah, I have actually never seen that!| Thanks a ton for the help. No problem, enjoy|||||||||||||||||
 I really loved [ITEM] .| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?|||||||||||||||||||||||||
 I like stuff like [ITEM] .| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?| I really loved [ITEM] .| I love adventure movies. That's great it's a great movies. Have you seen [ITEM]|||||||||||||||||||||||
 Oh, you know what, I haven't seen that. What is it about? Is it like [ITEM] ?| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?| I really loved [ITEM] .| I love adventure movies. That's great it's a great movies. Have you seen [ITEM]| I like stuff like [ITEM] .| I have't seen Jurassic Park|||||||||||||||||||||
 [ITEM] is good.| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?| I really loved [ITEM] .| I love adventure movies. That's great it's a great movies. Have you seen [ITEM]| I like stuff like [ITEM] .| I have't seen Jurassic Park| Oh, you know what, I haven't seen that. What is it about? Is it like [ITEM] ?| Have you seen [ITEM]|||||||||||||||||||
 Thanks a ton for the recommendations. I will totally watch those!| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?| I really loved [ITEM] .| I love adventure movies. That's great it's a great movies. Have you seen [ITEM]| I like stuff like [ITEM] .| I have't seen Jurassic Park| Oh, you know what, I haven't seen that. What is it about? Is it like [ITEM] ?| Have you seen [ITEM]| [ITEM] is good.| No, I haven't seen [ITEM] . My friends love it though. It is the best marvel film so far|||||||||||||||||
 Have a great day. Goodbye.| Hey how are you? Hi! How are you?| I am great. Good thanks, what kind of movies do you like?| I really loved [ITEM] .| I love adventure movies. That's great it's a great movies. Have you seen [ITEM]| I like stuff like [ITEM] .| I have't seen Jurassic Park| Oh, you know what, I haven't seen that. What is it about? Is it like [ITEM] ?| Have you seen [ITEM]| [ITEM] is good.| No, I haven't seen [ITEM] . My friends love it though. It is the best marvel film so far| Thanks a ton for the recommendations. I will totally watch those!| No problem, enjoy and goodbye|||||||||||||||
 I really love Disney movies.| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?|||||||||||||||||||||||||
 I haven't seen all of them though.| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]|||||||||||||||||||||||
 Oh, the new one?| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]| I haven't seen all of them though.| Those are great movies|||||||||||||||||||||
 With the girl from [ITEM] ?| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]| I haven't seen all of them though.| Those are great movies| Oh, the new one?| Yeh it's a great film|||||||||||||||||||
 That is a great idea. I didn't even think of that.| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]| I haven't seen all of them though.| Those are great movies| Oh, the new one?| Yeh it's a great film| With the girl from [ITEM] ?| I have to watch that! Yeh that's the one she is a great actress|||||||||||||||||
 Yes! I love it.| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]| I haven't seen all of them though.| Those are great movies| Oh, the new one?| Yeh it's a great film| With the girl from [ITEM] ?| I have to watch that! Yeh that's the one she is a great actress| That is a great idea. I didn't even think of that.| Thanks a lot! Have you seen [ITEM] it's a classic|||||||||||||||
 I am excited to watch [ITEM] . Have a great day. Goodbye.| Hey how are you? Hey! I am great. How are you?| I'm great thanks, what kind of movies do you like?| I really love Disney movies.| I love [ITEM] and [ITEM] . Awesome, have you tried the new [ITEM]| I haven't seen all of them though.| Those are great movies| Oh, the new one?| Yeh it's a great film| With the girl from [ITEM] ?| I have to watch that! Yeh that's the one she is a great actress| That is a great idea. I didn't even think of that.| Thanks a lot! Have you seen [ITEM] it's a classic| Yes! I love it.| Thanks soooo much. No problem, enjoy and goodbye|||||||||||||
 When I was younger I loved watching [ITEM]| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?||||||||||||||||||||||||||
 And more recently I have enjoyed [ITEM]| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?| When I was younger I loved watching [ITEM]| Do your friends also like scary movies?||||||||||||||||||||||||
 Oh I have seen that one too. It was wuite good, surprised by the ending.| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?| When I was younger I loved watching [ITEM]| Do your friends also like scary movies?| And more recently I have enjoyed [ITEM]| I am not sure of all of their preferences I was thinking maybe to have a couple different genres. Would [ITEM] be a good horror choice?||||||||||||||||||||||
 I love [ITEM] and I think you are right that will be a great movie to watch with friends.| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?| When I was younger I loved watching [ITEM]| Do your friends also like scary movies?| And more recently I have enjoyed [ITEM]| I am not sure of all of their preferences I was thinking maybe to have a couple different genres. Would [ITEM] be a good horror choice?| Oh I have seen that one too. It was wuite good, surprised by the ending.| Sorry I mean Quite I would also say [ITEM] could be a good film for a group of people. Funny and with action involved. Lots of super hero movies right now||||||||||||||||||||
 I have seen and love [ITEM] but not [ITEM] though I think I've heard of it.| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?| When I was younger I loved watching [ITEM]| Do your friends also like scary movies?| And more recently I have enjoyed [ITEM]| I am not sure of all of their preferences I was thinking maybe to have a couple different genres. Would [ITEM] be a good horror choice?| Oh I have seen that one too. It was wuite good, surprised by the ending.| Sorry I mean Quite I would also say [ITEM] could be a good film for a group of people. Funny and with action involved. Lots of super hero movies right now| I love [ITEM] and I think you are right that will be a great movie to watch with friends.| What about a comedy? I always liked [ITEM] or [ITEM] . We are a big fan of [ITEM] and [ITEM] in my house. A bit older like the two you mentioned and super funny. I just love Mel Brooks||||||||||||||||||
 Thank you, Good Bye.| Hello I am looking for some suggestions for an upcoming movie night with firends. What kinds of movies have you liked before with this group of friends?| When I was younger I loved watching [ITEM]| Do your friends also like scary movies?| And more recently I have enjoyed [ITEM]| I am not sure of all of their preferences I was thinking maybe to have a couple different genres. Would [ITEM] be a good horror choice?| Oh I have seen that one too. It was wuite good, surprised by the ending.| Sorry I mean Quite I would also say [ITEM] could be a good film for a group of people. Funny and with action involved. Lots of super hero movies right now| I love [ITEM] and I think you are right that will be a great movie to watch with friends.| What about a comedy? I always liked [ITEM] or [ITEM] . We are a big fan of [ITEM] and [ITEM] in my house. A bit older like the two you mentioned and super funny. I just love Mel Brooks| I have seen and love [ITEM] but not [ITEM] though I think I've heard of it.| Well thank you so much I think I can plan my movie night now. Good luck! I hope your friends enjoy the choices||||||||||||||||
 [ITEM] is also a good action adventure romance. I've never really watched these types of movies and I don't know where to start.| Hello! What kind of movie are you looking for today? Hello| I guess I am not sure what I am looking for. Do you know of any good romance movies? I love [ITEM] . Its an older fairy tale romance with Drew Barrmore|||||||||||||||||||||||||
 I always like [ITEM] I think that is the name of it.| Hello! What kind of movie are you looking for today? Hello| I guess I am not sure what I am looking for. Do you know of any good romance movies? I love [ITEM] . Its an older fairy tale romance with Drew Barrmore| [ITEM] is also a good action adventure romance. I've never really watched these types of movies and I don't know where to start.| I haven't seen either of these I will have to check them out. What else would you like in the movie? comedy, fairy tales?|||||||||||||||||||||||
 And not really that romantic but totally hilarious [ITEM]| Hello! What kind of movie are you looking for today? Hello| I guess I am not sure what I am looking for. Do you know of any good romance movies? I love [ITEM] . Its an older fairy tale romance with Drew Barrmore| [ITEM] is also a good action adventure romance. I've never really watched these types of movies and I don't know where to start.| I haven't seen either of these I will have to check them out. What else would you like in the movie? comedy, fairy tales?| I always like [ITEM] I think that is the name of it.| What movies outs die of the romance genre do you like?|||||||||||||||||||||
 And there is another I don't know what you would call the genre but the name is [ITEM] .| Hello! What kind of movie are you looking for today? Hello| I guess I am not sure what I am looking for. Do you know of any good romance movies? I love [ITEM] . Its an older fairy tale romance with Drew Barrmore| [ITEM] is also a good action adventure romance. I've never really watched these types of movies and I don't know where to start.| I haven't seen either of these I will have to check them out. What else would you like in the movie? comedy, fairy tales?| I always like [ITEM] I think that is the name of it.| What movies outs die of the romance genre do you like?| And not really that romantic but totally hilarious [ITEM]| I love comedies like [ITEM] This movie never fails to crack me up. So [ITEM] is a crime movie with some romance|||||||||||||||||||
 Some romance and action Yes but [ITEM] the love was so real it strikes me as a great romance,| Hello! What kind of movie are you looking for today? Hello| I guess I am not sure what I am looking for. Do you know of any good romance movies? I love [ITEM] . Its an older fairy tale romance with Drew Barrmore| [ITEM] is also a good action adventure romance. I've never really watched these types of movies and I don't know where to start.| I haven't seen either of these I will have to check them out. What else would you like in the movie? comedy, fairy tales?| I always like [ITEM] I think that is the name of it.| What movies outs die of the romance genre do you like?| And not really that romantic but totally hilarious [ITEM]| I love comedies like [ITEM] This movie never fails to crack me up. So [ITEM] is a crime movie with some romance| And there is another I don't know what you would call the genre but the name is [ITEM] .| Have you seen [ITEM]|||||||||||||||||
 I have seen [ITEM] as a child. I also enjoy [ITEM]| Hello what kind of movies are you looking for? Hi, I love musicals and am looking for some new ones!| [ITEM] is a current favorite I am not sure that I know many musicals. I have never seen [ITEM]|||||||||||||||||||||||||
 I grew up watching [ITEM] and [ITEM] I havent seen a lot of horror movies because they terrify me| Hello what kind of movies are you looking for? Hi, I love musicals and am looking for some new ones!| [ITEM] is a current favorite I am not sure that I know many musicals. I have never seen [ITEM]| I have seen [ITEM] as a child. I also enjoy [ITEM]| I have seen Annie but it was sort of meh I haven't seen that one either. If anything I am a horror fan all the way.|||||||||||||||||||||||
 I love Adam Sandler! My favorite movie of his is [ITEM]| Hello what kind of movies are you looking for? Hi, I love musicals and am looking for some new ones!| [ITEM] is a current favorite I am not sure that I know many musicals. I have never seen [ITEM]| I have seen [ITEM] as a child. I also enjoy [ITEM]| I have seen Annie but it was sort of meh I haven't seen that one either. If anything I am a horror fan all the way.| I grew up watching [ITEM] and [ITEM] I havent seen a lot of horror movies because they terrify me| I like that scared to the couch feeling, though sometimes I have to follow up my horror movies with a great comedy. Something like [ITEM]|||||||||||||||||||||
 [ITEM] and [ITEM] are 2 all time favorites. I havent seen either of those but I will take a look! Thank you for the new movie suggestions| Hello what kind of movies are you looking for? Hi, I love musicals and am looking for some new ones!| [ITEM] is a current favorite I am not sure that I know many musicals. I have never seen [ITEM]| I have seen [ITEM] as a child. I also enjoy [ITEM]| I have seen Annie but it was sort of meh I haven't seen that one either. If anything I am a horror fan all the way.| I grew up watching [ITEM] and [ITEM] I havent seen a lot of horror movies because they terrify me| I like that scared to the couch feeling, though sometimes I have to follow up my horror movies with a great comedy. Something like [ITEM]| I love Adam Sandler! My favorite movie of his is [ITEM]| Do you know of any other good 90's comedies? I love [ITEM]|||||||||||||||||||
 Well [ITEM] is family friendly I could do better I am sure. How abut [ITEM] and [ITEM] I dont think the kids would be interested in a movie that old. Hunger Games they have seen and love| Hi there are you interested in some classic comedies? I am actually looking for movies for my 12 yr olds sleepover| There is a movie called [ITEM] and it is absolutely hilarious.|||||||||||||||||||||||||
 They really liked [ITEM] when I showed that to them and [ITEM] could be good too| Hi there are you interested in some classic comedies? I am actually looking for movies for my 12 yr olds sleepover| There is a movie called [ITEM] and it is absolutely hilarious.| Well [ITEM] is family friendly I could do better I am sure. How abut [ITEM] and [ITEM] I dont think the kids would be interested in a movie that old. Hunger Games they have seen and love| Well how about [ITEM] .|||||||||||||||||||||||
 I think I will try that with them as well.| Hi there are you interested in some classic comedies? I am actually looking for movies for my 12 yr olds sleepover| There is a movie called [ITEM] and it is absolutely hilarious.| Well [ITEM] is family friendly I could do better I am sure. How abut [ITEM] and [ITEM] I dont think the kids would be interested in a movie that old. Hunger Games they have seen and love| Well how about [ITEM] .| They really liked [ITEM] when I showed that to them and [ITEM] could be good too| I could also suggest [ITEM]|||||||||||||||||||||
 We havent seen that one but they do like super heroes| Hi there are you interested in some classic comedies? I am actually looking for movies for my 12 yr olds sleepover| There is a movie called [ITEM] and it is absolutely hilarious.| Well [ITEM] is family friendly I could do better I am sure. How abut [ITEM] and [ITEM] I dont think the kids would be interested in a movie that old. Hunger Games they have seen and love| Well how about [ITEM] .| They really liked [ITEM] when I showed that to them and [ITEM] could be good too| I could also suggest [ITEM]| I think I will try that with them as well.| or the newest one I believe is [ITEM] .|||||||||||||||||||
 I watch many movies. I especially like science fiction. Any recommendations?| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?||||||||||||||||||||||||||
 I like Bruce Willis action.| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?| I watch many movies. I especially like science fiction. Any recommendations?| An oldy but a goody is [ITEM] I prefer more actions and comedies, any recomendations?||||||||||||||||||||||||
 I like Seven Samori as well as the Magnificent Seven.| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?| I watch many movies. I especially like science fiction. Any recommendations?| An oldy but a goody is [ITEM] I prefer more actions and comedies, any recomendations?| I like Bruce Willis action.| I really enjoy movies like [ITEM] and [ITEM] Recently we watched [ITEM] and it was great!||||||||||||||||||||||
 I will watch The Avengers again, Thanks!| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?| I watch many movies. I especially like science fiction. Any recommendations?| An oldy but a goody is [ITEM] I prefer more actions and comedies, any recomendations?| I like Bruce Willis action.| I really enjoy movies like [ITEM] and [ITEM] Recently we watched [ITEM] and it was great!| I like Seven Samori as well as the Magnificent Seven.| I like Bruce Willis in a lot of movies, especially in [ITEM]||||||||||||||||||||
 Please watch it. Lots of action. A classic.| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?| I watch many movies. I especially like science fiction. Any recommendations?| An oldy but a goody is [ITEM] I prefer more actions and comedies, any recomendations?| I like Bruce Willis action.| I really enjoy movies like [ITEM] and [ITEM] Recently we watched [ITEM] and it was great!| I like Seven Samori as well as the Magnificent Seven.| I like Bruce Willis in a lot of movies, especially in [ITEM]| I will watch The Avengers again, Thanks!| I have not seen [ITEM]||||||||||||||||||
 I guess we are through, nice talking to you.| Hello, are you a movie buff? Hi, I guess I could say yes from the ridiculous stack of movies :) you?| I watch many movies. I especially like science fiction. Any recommendations?| An oldy but a goody is [ITEM] I prefer more actions and comedies, any recomendations?| I like Bruce Willis action.| I really enjoy movies like [ITEM] and [ITEM] Recently we watched [ITEM] and it was great!| I like Seven Samori as well as the Magnificent Seven.| I like Bruce Willis in a lot of movies, especially in [ITEM]| I will watch The Avengers again, Thanks!| I have not seen [ITEM]| Please watch it. Lots of action. A classic.| I will add it to the Netflix que. Thank you!||||||||||||||||
 oh yes I have seen both of them multiple times.| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?|||||||||||||||||||||||||
 I have not seen [ITEM] or if I have I do not remember it all. I will have to check that out.| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?| oh yes I have seen both of them multiple times.| Not as old but [ITEM] I would consider a semi classic.|||||||||||||||||||||||
 Oh there is another old one that I always loved it has a little bit of everything it is called [ITEM]| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?| oh yes I have seen both of them multiple times.| Not as old but [ITEM] I would consider a semi classic.| I have not seen [ITEM] or if I have I do not remember it all. I will have to check that out.| It is comedic|||||||||||||||||||||
 I have heard of it before but I have never actually watched it. I will definitely have to check it out now though.| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?| oh yes I have seen both of them multiple times.| Not as old but [ITEM] I would consider a semi classic.| I have not seen [ITEM] or if I have I do not remember it all. I will have to check that out.| It is comedic| Oh there is another old one that I always loved it has a little bit of everything it is called [ITEM]| Along the same lines as Airplane is [ITEM] which is a lesser known movie I was introduced to in a film class|||||||||||||||||||
 And another good Gene Wilder film is [ITEM] ! I will have to check those ones out as well.| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?| oh yes I have seen both of them multiple times.| Not as old but [ITEM] I would consider a semi classic.| I have not seen [ITEM] or if I have I do not remember it all. I will have to check that out.| It is comedic| Oh there is another old one that I always loved it has a little bit of everything it is called [ITEM]| Along the same lines as Airplane is [ITEM] which is a lesser known movie I was introduced to in a film class| I have heard of it before but I have never actually watched it. I will definitely have to check it out now though.| Oh and another all time favorite is [ITEM] If you liked [ITEM] for the music I would suggest [ITEM]|||||||||||||||||
 No I think that's great thank you, Good bye.| Hi! What kind of movies are you looking for today? I want to watch some classics like [ITEM]| Or maybe something like [ITEM] Have you seen both of those movies?| oh yes I have seen both of them multiple times.| Not as old but [ITEM] I would consider a semi classic.| I have not seen [ITEM] or if I have I do not remember it all. I will have to check that out.| It is comedic| Oh there is another old one that I always loved it has a little bit of everything it is called [ITEM]| Along the same lines as Airplane is [ITEM] which is a lesser known movie I was introduced to in a film class| I have heard of it before but I have never actually watched it. I will definitely have to check it out now though.| Oh and another all time favorite is [ITEM] If you liked [ITEM] for the music I would suggest [ITEM]| And another good Gene Wilder film is [ITEM] ! I will have to check those ones out as well.| Thank you for all the suggestions. this should keep me busy for a while. Woudl you like any other suggestions?|||||||||||||||
 Yes I have seen Deadpool and you are right, its great. I'm also waiting on the second one| Hey I heard you're looking for movies what kind of recommendation would you like? I enjoy movies with a lot of action.| Have you seen [ITEM] this movie is action packed to the max. I can't wait to get to see [ITEM]|||||||||||||||||||||||||
 Really? Yes I have heard of him but not that movie. I'll have to check it out.| Hey I heard you're looking for movies what kind of recommendation would you like? I enjoy movies with a lot of action.| Have you seen [ITEM] this movie is action packed to the max. I can't wait to get to see [ITEM]| Yes I have seen Deadpool and you are right, its great. I'm also waiting on the second one| Do you like Mark Wahlberg? He's in a great movie called [ITEM] , this movie is full of action and suspense. Edge of my seat the whole time.|||||||||||||||||||||||
 Missed that one as well.| Hey I heard you're looking for movies what kind of recommendation would you like? I enjoy movies with a lot of action.| Have you seen [ITEM] this movie is action packed to the max. I can't wait to get to see [ITEM]| Yes I have seen Deadpool and you are right, its great. I'm also waiting on the second one| Do you like Mark Wahlberg? He's in a great movie called [ITEM] , this movie is full of action and suspense. Edge of my seat the whole time.| Really? Yes I have heard of him but not that movie. I'll have to check it out.| Do you have any other suggestions? Oh for sure, it is a great movie and Mark Wahlberg is a stud. Have you ever seen [ITEM] ?|||||||||||||||||||||
 I will do that. Did he ever do fantasy type movies? I'm into those as well| Hey I heard you're looking for movies what kind of recommendation would you like? I enjoy movies with a lot of action.| Have you seen [ITEM] this movie is action packed to the max. I can't wait to get to see [ITEM]| Yes I have seen Deadpool and you are right, its great. I'm also waiting on the second one| Do you like Mark Wahlberg? He's in a great movie called [ITEM] , this movie is full of action and suspense. Edge of my seat the whole time.| Really? Yes I have heard of him but not that movie. I'll have to check it out.| Do you have any other suggestions? Oh for sure, it is a great movie and Mark Wahlberg is a stud. Have you ever seen [ITEM] ?| Missed that one as well.| Oh you gotta into it. It's a great movie.|||||||||||||||||||
